"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Retweets","tweets_Likes","tweets_Replies","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Mar 16, 2011",", tsunami aid and relief: How you can help http://on.cnn.com/fAXNkc","341","34","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Mexico acknowledges U.S. drones helping track drug traffickers there http://on.cnn.com/eaYbAL","98","17","","","","","1"
"","CNN Breaking News","Mar 16, 2011","""Extremely high"" radiation levels at Fukushima Daiichi plant, U.S. NRC says http://on.cnn.com/hlXLSp","538","43","","","","","1"
"","CNN Breaking News","Mar 16, 2011","crisis, U.S. economy http://on.cnn.com/gc5uU6","106","9","","","","","1"
"","CNN Breaking News","Mar 16, 2011","http://on.cnn.com/dPvSAy","113","19","","","","","1"
"","CNN Breaking News","Mar 16, 2011","advises 12.4 miles http://on.cnn.com/hlXLSp","189","12","","","","","1"
"","CNN Breaking News","Mar 16, 2011","does not want to serve second term as secretary of state, Clinton tells CNN. http://on.cnn.com/dJhyhp","465","29","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Four New York Times journalists missing in Libya, newspaper says. http://on.cnn.com/gJEGzi","267","13","","","","","1"
"","CNN Breaking News","Mar 16, 2011","damaged reactors. http://on.cnn.com/hlXLSp","84","7","","","","","1"
"","CNN Breaking News","Mar 16, 2011","damaged Japanese reactors. http://on.cnn.com/i6CN0p","172","13","","","","","1"
"","CNN Breaking News","Mar 16, 2011","death toll stands at 4,314, with at least 8,606 missing, police say. http://on.cnn.com/hlXLSp","588","35","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Yale murder suspect intends to plead guilty, attorney says. http://on.cnn.com/dQVICg","51","9","","","","","1"
"","CNN Breaking News","Mar 16, 2011","aftermath. http://on.cnn.com/hlXLSp","132","17","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Wednesday. http://on.cnn.com/hlXLSp","417","15","","","","","1"
"","CNN Breaking News","Mar 16, 2011",". http://on.cnn.com/gisy85","144","18","","","","","1"
"","CNN Breaking News","Mar 16, 2011",". http://on.cnn.com/eD4lWt","99","10","","","","","1"
"","CNN Breaking News","Mar 16, 2011","CIA contractor released after Pakistan killings, government minister says. http://on.cnn.com/eIQRh5","49","9","","","","","1"
"","CNN Breaking News","Mar 16, 2011","and tsunami live blog: Latest updates, video. http://on.cnn.com/hlXLSp","121","30","","","","","1"
"","CNN Breaking News","Mar 16, 2011","leader, country's president says. http://on.cnn.com/f7rRKR","149","16","","","","","1"
"","CNN Breaking News","Mar 16, 2011",", tsunami. http://on.cnn.com/hlXLSp","245","19","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Toyota Motor Corp. will not resume auto production at its Japan plants for another week. http://on.cnn.com/i6CN0p","154","17","","","","","1"
"","CNN Breaking News","Mar 16, 2011","damaged Japanese nuclear plant. http://on.cnn.com/hlXLSp","709","31","","","","","1"
"","CNN Breaking News","Mar 16, 2011",", tsunami http://on.cnn.com/hCvegB","137","25","","","","","1"
"","CNN Breaking News","Mar 16, 2011","-damaged nation on national television http://on.cnn.com/hlXLSp","206","25","","","","","1"
"","CNN Breaking News","Mar 16, 2011","-damaged container may be causing smoke, radiation spike, agency says http://on.cnn.com/hi8GVs","150","14","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Governor says radiation levels in Tokyo 20 times normal, The Japan Times reports http://on.cnn.com/gGn3gh","774","53","","","","","1"
"","CNN Breaking News","Mar 16, 2011","50 workers at damaged nuclear plant have been evacuated, Japan official says http://on.cnn.com/gGn3gh","553","36","","","","","1"
"","CNN Breaking News","Mar 16, 2011","toll from Japan National Police: 3,676 dead, 7,558 missing http://on.cnn.com/gGn3gh","983","54","","","","","1"
"","CNN Breaking News","Mar 15, 2011","Tokyo Power Co.: Fire in Reactor 4 building at Fukushima Daiichi plant http://on.cnn.com/gGn3gh","374","30","","","","","1"
"","CNN Breaking News","Mar 15, 2011","Websites of YouTube, ESPN and others blocked by U.S. military in Japan to save bandwidth http://on.cnn.com/h8wiYg","396","35","","","","","1"
"","CNN Breaking News","Mar 15, 2011","Iditarod won by Alaskan for first time in dog-sled race's 38-year history http://on.cnn.com/h9YCki","186","17","","","","","1"
"","CNN Breaking News","Mar 15, 2011","House passes measure to keep government running http://on.cnn.com/hh9Rzl","67","12","","","","","1"
"","CNN Breaking News","Mar 15, 2011","divine retribution, Kyodo reports http://on.cnn.com/f64wWA","155","35","","","","","1"
"","CNN Breaking News","Mar 15, 2011","official says ""http://on.cnn.com/hoAujW","353","37","","","","","1"
"","CNN Breaking News","Mar 15, 2011","damaged nuclear plant due to radiation. http://on.cnn.com/hM2Dtg","245","20","","","","","1"
"","CNN Breaking News","Mar 15, 2011","creates ""one of the most challenging humanitarian operations."" http://on.cnn.com/g8J1WO","233","25","","","","","1"
"","CNN Breaking News","Mar 15, 2011","divine retribution, Kyodo reports http://on.cnn.com/f64wWA","155","35","","","","","1"
"","CNN Breaking News","Mar 15, 2011","official says ""http://on.cnn.com/hoAujW","353","37","","","","","1"
"","CNN Breaking News","Mar 15, 2011","damaged nuclear plant due to radiation. http://on.cnn.com/hM2Dtg","245","20","","","","","1"
"","CNN Breaking News","Mar 15, 2011","creates ""one of the most challenging humanitarian operations."" http://on.cnn.com/g8J1WO","233","25","","","","","1"
"","CNN Breaking News","Mar 15, 2011","-damaged reactor. http://on.cnn.com/gGn3gh","153","16","","","","","1"
"","CNN Breaking News","Mar 15, 2011","Two Canadians face charges in 2009 al Qaeda plot to blow up New York subway. http://on.cnn.com/gXQNWb","112","11","","","","","1"
"","CNN Breaking News","Mar 15, 2011","aftershock hits eastern part of Honshu, Japan, USGS says. Shaking widely felt. http://on.cnn.com/gGn3gh","773","57","","","","","1"
"","CNN Breaking News","Mar 15, 2011","in Japan, police say. http://on.cnn.com/gGn3gh","1K","32","","","","","1"
"","CNN Breaking News","Mar 15, 2011","Bahrain's king declares 3-month state of emergency, state news agency says. http://on.cnn.com/e0TNjx","152","17","","","","","1"
"","CNN Breaking News","Mar 15, 2011","in Japan, police say. http://on.cnn.com/hms5pp","652","23","","","","","1"
"","CNN Breaking News","Mar 15, 2011","-damaged Japan forecast to drop below freezing by Wednesday. http://on.cnn.com/hms5pp","228","18","","","","","1"
"","CNN Breaking News","Mar 15, 2011","-damaged Japanese plant http://on.cnn.com/hM2Dtg","326","20","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/gHC3Vo","455","278","","","","","1"
"","CNN Breaking News","Mar 15, 2011","death toll rises http://on.cnn.com/gGn3gh","133","14","","","","","1"
"","CNN Breaking News","Mar 15, 2011","U.S. aircraft carrier docked in Japan detects radiation http://on.cnn.com/gVrMmG","391","32","","","","","1"
"","CNN Breaking News","Mar 15, 2011","Japan's nuclear crisis recalls painful memories in Hiroshima http://on.cnn.com/dY0euc","302","31","","","","","1"
"","CNN Breaking News","Mar 15, 2011","insurance http://on.cnn.com/hgScwP","223","24","","","","","1"
"","CNN Breaking News","Mar 15, 2011","damage in Japan show a landscape of loss http://on.cnn.com/ehsSqc","499","97","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/fpRk6P","452","25","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/fpRk6P","851","22","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/fpRk6P","1.5K","45","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/fpRk6P","628","28","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/fpRk6P","411","28","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/fez8hp","173","21","","","","","1"
"","CNN Breaking News","Mar 15, 2011","http://on.cnn.com/fez8hp","105","16","","","","","1"
"","CNN Breaking News","Mar 15, 2011","rises to 2,414; 3,118 people are missing http://on.cnn.com/hg0lJl","657","16","","","","","1"
"","CNN Breaking News","Mar 14, 2011","http://on.cnn.com/hg0lJl","554","40","","","","","1"
"","CNN Breaking News","Mar 14, 2011","to 9.0 http://on.cnn.com/hg0lJl","661","32","","","","","1"
"","CNN Breaking News","Mar 14, 2011","http://on.cnn.com/hg0lJl","179","18","","","","","1"
"","CNN Breaking News","Mar 14, 2011","http://on.cnn.com/hg0lJl","78","19","","","","","1"
"","CNN Breaking News","Mar 14, 2011","in US warship attack; 1st pirate conviction in over 190 years http://on.cnn.com/hZhIkp","371","28","","","","","1"
"","CNN Breaking News","Mar 14, 2011","http://on.cnn.com/hg0lJl","362","23","","","","","1"
"","CNN Breaking News","Mar 14, 2011","end lower as investors react to a decline in Japanese market. Dow slips 52 points, Nasdaq eases 0.5% http://on.cnn.com/dMcy7T","63","8","","","","","1"
"","CNN Breaking News","Mar 14, 2011",". http://on.cnn.com/hRCXAa","196","23","","","","","1"
"","CNN Breaking News","Mar 14, 2011","damage. http://on.cnn.com/fpRk6P","152","28","","","","","1"
"","CNN Breaking News","Mar 14, 2011","death toll reaches 1,897, with at least 3,002 missing, police say. http://on.cnn.com/fpRk6P","457","19","","","","","1"
"","CNN Breaking News","Mar 14, 2011","Fuel rods at Fukushima nuclear plant exposed for second time, power company says. http://on.cnn.com/fpRk6P","232","17","","","","","1"
